id;note_text;rating;action_items;feedback
1;ha meditate funny;12036;above next;grateful pfft underneath
2;aw meh;1073;command pastor when;outside bath
3;mistrust charming very;16466;meanwhile;ew brilliant
4;now yearly;11533;authorized;ew coaxingly
5;pattern net;32074;cloister terracotta thick;figure bravely
6;round;23843;whose;rose reluctantly
7;geez;8445;blah accidentally;cheerfully
8;freely fatally;13618;evaluate cultivated;and
9;overgeneralize;1797;as;of
10;phooey multitask convenience;7235;yawningly pond;e-reader correctly love
